Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Model Period Mean (intersection),MeanState,global,scalar,Pg yr-1,168.765
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Model Period Mean (complement),MeanState,global,scalar,Pg yr-1,29.0744
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Benchmark Period Mean (intersection),MeanState,bona,scalar,Pg yr-1,2.92958
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Benchmark Period Mean (complement),MeanState,bona,scalar,Pg yr-1,0.00947465
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Period Mean (original grids),MeanState,bona,scalar,Pg yr-1,9.41659
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Model Period Mean (intersection),MeanState,bona,scalar,Pg yr-1,8.07411
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Model Period Mean (complement),MeanState,bona,scalar,Pg yr-1,0.960147
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Spatial Distribution Score,MeanState,global,score,1,0.691237
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Spatial Distribution Score,MeanState,bona,score,1,0.380421
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Phase Shift,MeanState,global,scalar,months,1.10657
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Seasonal Cycle Score,MeanState,global,score,1,0.807276
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Phase Shift,MeanState,bona,scalar,months,0.368293
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Seasonal Cycle Score,MeanState,bona,score,1,0.980557
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Bias,MeanState,global,scalar,g m-2 d-1,1.6895
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Bias Score,MeanState,global,score,1,0.19587
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Bias,MeanState,bona,scalar,g m-2 d-1,1.51771
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Bias Score,MeanState,bona,score,1,0.199917
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,RMSE,MeanState,global,scalar,g m-2 d-1,2.13905
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,RMSE Score,MeanState,global,score,1,0.407201
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,RMSE,MeanState,bona,scalar,g m-2 d-1,2.00324
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,RMSE Score,MeanState,bona,score,1,0.356772
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Overall Score,MeanState,global,score,1,0.501757
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Overall Score,MeanState,bona,score,1,0.454888
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Evapotranspiration Hellinger Distance,Relationships,global,scalar,1,0.469794
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Evapotranspiration RMSE Score,Relationships,global,score,1,0.0299787
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Evapotranspiration Hellinger Distance,Relationships,bona,scalar,1,0.288186
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Evapotranspiration RMSE Score,Relationships,bona,score,1,0.0175475
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Overall Score,Relationships,global,score,1,0.0299787
